no;exp;wks;occ;ind;south;smsa;ms;fem;union;ed;blk;lwage;t;id
1;3;32;0;0;1;0;1;0;0;9;0;5.560679913;1;1
2;4;43;0;0;1;0;1;0;0;9;0;5.720310211;2;1
3;5;40;0;0;1;0;1;0;0;9;0;5.996449947;3;1
4;6;39;0;0;1;0;1;0;0;9;0;5.996449947;4;1
5;7;42;0;1;1;0;1;0;0;9;0;6.061460018;5;1
6;8;35;0;1;1;0;1;0;0;9;0;6.173789978;6;1
7;9;32;0;1;1;0;1;0;0;9;0;6.244170189;7;1
8;30;34;1;0;0;0;1;0;0;11;0;6.163310051;1;2
9;31;27;1;0;0;0;1;0;0;11;0;6.2146101;2;2
10;32;33;1;1;0;0;1;0;1;11;0;6.263400078;3;2
11;33;30;1;1;0;0;1;0;0;11;0;6.543910027;4;2
12;34;30;1;1;0;0;1;0;0;11;0;6.697030067;5;2
13;35;37;1;1;0;0;1;0;0;11;0;6.791220188;6;2
14;36;30;1;1;0;0;1;0;0;11;0;6.815639973;7;2
15;6;50;1;1;0;0;1;0;1;12;0;5.652490139;1;3
16;7;51;1;1;0;0;1;0;1;12;0;6.436150074;2;3
17;8;50;1;1;0;0;1;0;1;12;0;6.548220158;3;3
18;9;52;1;1;0;0;1;0;1;12;0;6.602590084;4;3
19;10;52;1;1;0;0;1;0;1;12;0;6.695799828;5;3
20;11;52;1;1;0;0;0;0;1;12;0;6.778779984;6;3
21;12;46;1;1;0;0;0;0;1;12;0;6.860660076;7;3
22;31;52;1;0;0;1;0;1;0;10;1;6.156980038;1;4
23;32;46;1;0;0;1;0;1;0;10;1;6.238319874;2;4
24;33;46;1;0;0;1;0;1;0;10;1;6.300789833;3;4
25;34;49;1;0;0;1;0;1;0;10;1;6.359570026;4;4
26;35;44;1;0;0;1;0;1;0;10;1;6.469250202;5;4
27;36;52;1;0;0;1;0;1;0;10;1;6.562439919;6;4
28;37;46;1;0;0;1;0;1;0;10;1;6.621409893;7;4
29;10;50;1;0;0;0;1;0;1;16;0;6.437749863;1;5
30;11;46;1;0;0;0;1;0;1;16;0;6.620069981;2;5
31;12;40;1;0;0;0;1;0;1;16;0;6.633319855;3;5
32;13;50;0;0;0;0;1;0;0;16;0;6.982860088;4;5
33;14;47;1;0;0;1;1;0;0;16;0;7.047520161;5;5
34;15;47;0;0;0;0;1;0;0;16;0;7.313220024;6;5
35;16;49;0;0;0;0;1;0;0;16;0;7.295740128;7;5
36;26;44;1;1;0;1;1;0;0;12;0;6.905749798;1;6
37;27;47;1;1;0;1;1;0;0;12;0;6.905749798;2;6
38;28;47;1;1;0;1;1;0;0;12;0;6.907760143;3;6
39;29;47;1;1;0;1;1;0;0;12;0;7.003069878;4;6
40;30;44;1;1;0;1;1;0;0;12;0;7.069019794;5;6
41;31;45;1;1;0;1;1;0;0;12;0;7.520229816;6;6
42;32;47;1;1;0;1;1;0;0;12;0;7.338890076;7;6
43;15;46;1;0;0;0;1;0;1;12;0;6.133399963;1;7
44;16;48;1;0;0;0;1;0;1;12;0;6.173789978;2;7
45;17;49;1;0;0;0;1;0;1;12;0;6.212609768;3;7
46;18;46;1;0;0;0;1;0;1;12;0;6.313549995;4;7
47;19;47;1;0;0;0;1;0;1;12;0;6.375020027;5;7
48;20;47;1;0;0;0;1;0;1;12;0;6.445720196;6;7
49;21;48;1;0;0;0;1;0;1;12;0;6.522089958;7;7
50;23;51;1;1;1;0;1;0;1;10;0;6.331500053;1;8
51;24;50;1;1;1;0;1;0;1;10;0;6.403570175;2;8
